
=== Training Session Started for FP16_Baseline at 2026-06-08 16:52:14 ===
[FP16_Baseline] [Epoch 001/100] Loss: 1.59931 | Time/Epoch: 12.8s | ETA: 21 mins
[FP16_Baseline] [Epoch 002/100] Loss: 0.11329 | Time/Epoch: 11.6s | ETA: 19 mins
[FP16_Baseline] [Epoch 003/100] Loss: 0.10678 | Time/Epoch: 11.4s | ETA: 19 mins
[FP16_Baseline] [Epoch 004/100] Loss: 0.09928 | Time/Epoch: 11.4s | ETA: 18 mins
[FP16_Baseline] [Epoch 005/100] Loss: 0.09488 | Time/Epoch: 11.4s | ETA: 18 mins
[FP16_Baseline] [Epoch 006/100] Loss: 0.09309 | Time/Epoch: 11.4s | ETA: 17 mins
[FP16_Baseline] [Epoch 007/100] Loss: 0.09808 | Time/Epoch: 11.4s | ETA: 17 mins
[FP16_Baseline] [Epoch 008/100] Loss: 0.09229 | Time/Epoch: 11.5s | ETA: 17 mins
[FP16_Baseline] [Epoch 009/100] Loss: 0.08619 | Time/Epoch: 11.4s | ETA: 17 mins
[FP16_Baseline] [Epoch 010/100] Loss: 0.10332 | Time/Epoch: 11.3s | ETA: 17 mins
[FP16_Baseline] [Epoch 011/100] Loss: 0.09081 | Time/Epoch: 11.7s | ETA: 17 mins
[FP16_Baseline] [Epoch 012/100] Loss: 0.08436 | Time/Epoch: 11.8s | ETA: 16 mins
[FP16_Baseline] [Epoch 013/100] Loss: 0.08142 | Time/Epoch: 11.4s | ETA: 16 mins
[FP16_Baseline] [Epoch 014/100] Loss: 0.07923 | Time/Epoch: 10.4s | ETA: 16 mins
[FP16_Baseline] [Epoch 015/100] Loss: 0.08028 | Time/Epoch: 10.4s | ETA: 15 mins
[FP16_Baseline] [Epoch 016/100] Loss: 0.07663 | Time/Epoch: 10.4s | ETA: 15 mins
[FP16_Baseline] [Epoch 017/100] Loss: 0.07670 | Time/Epoch: 10.4s | ETA: 14 mins
